journal,date,title,pages
France 3 Occitanie, 11-08-2023,"Les glaciers sont malades : 3 questions au glaciologue Pierre René sur la situation dans les Pyrénées", page web
Sud-Ouest, 07-08-2023,"Environnement : dans les Pyrénées, les glaciers déposent le bilan."
Le Point, 12-12-2022, Pyrénées : la fulgurante et inquiétante extinction des glaciers.
Ouest France, 24-11-2022,"Après une année de fonte record, ces deux glaciers des Pyrénées françaises ont été déclarés morts."
Le Parisien, 05-11-2022,"Fonte record cette année pour le glacier d’Ossoue, le plus grand des Pyrénées."
Libération, 14-10-2022,"Fonte des glaciers français : 2022, année de tous les records."
La Dépêche du Midi, 13-09-20,"Bagnères de Luchon. « En 2040, le glacier de Boum n’existera plus » affirme Pierre René.",
Midi Libre Magazine, 02-02-20, Nos glaciers sous surveillance, p12-15.
Libération, 29-01-20, Pyrénées : la fin de l’âge de glace.
Le Matin (Suisse), 18-01-20, Réchauffement climatique : glaciers à l’agonie dans les Pyrénées.
Ouest France, 18-01-20,"Pyrénées, l’inéluctable agonie des glaciers."
Sud-Ouest, 18-01-20, Réchauffement climatique : l’inéluctable agonie des glaciers dans les Pyrénées.
Sud-Ouest MAG, 28-09-19, Les glaciers des Pyrénées ont la fièvre, p4-8.
La Dépêche du Midi, 22-09-19,"Dans les Pyrénées, l’agonie des glaciers", p2-3.
La Gazette Ariégeoise n°43, 26-10-18, Arcouzan grandit encore !
La Dépêche du Midi, 30-09-18,"Pic du Midi : 100 jours sans gel, du jamais vu depuis 1 siècle. En Ariège, le glacier d’Arcouzan continue de grandir."
La Dépêche du Midi, 08-11-17, La fonte du glacier d’Ossoue révèle une porte de Russell.
La République des Pyrénées, 26-10-17,"Glaciers, une fonte qui s’accélère."
Sud-Ouest, 13-04-16, Il n’y aura peut-être plus de glaciers dans les Pyrénées en 2050.
Midi Libre, 13-04-16, Pyrénées : « très probable » que les glaciers disparaissent d’ici 2050.
Mon Quotidien, 12-04-16, Combien y a t il de glaciers dans les Pyrénées ?
La Croix, 06-04-16, Les glaciers pyrénéens menacés de disparition.
20 Minutes, 05-04-16,"D’ici 2050, les glaciers des Pyrénées auront tous disparu."
La Dépêche du Midi, 05-04-16, Pierre René sonne le glas des glaciers.
Sud-Ouest, 24-11-15,"Pyrénées, les glaciers fondent à vue d’œil."
Libération, 30-10-15,"Le glacier d’Ossoue fond, fini le ski."
La Dépêche du Midi, 22-08-15,"Dans les Pyrénées, la fonte des glaciers s’accélère."
La Dépêche du Midi, 22-11-14, Un glaciologue au collège.
La Gazette du Comminges, 08-01-14, Pierre René – l’arpenteur de glaciers.
La Dépêche du Midi, 11-01-14, Le recul des glaciers pyrénéens en images.
La Dépêche du Midi, 28-10-13, Le glacier d’Arcouzan a grandi avec l’hiver.
La Gazette du Comminges, 10-07-13,"Pyrénées, l’état de glace."
La République des Pyrénées, 05-07-13, Pyrénées : SOS glaciers en danger.
La République des Pyrénées, 19-12-12, Béarn 2030 – Des montagnes sans glaciers.
La Vanguardia, 04/10/12,"El Vignemale, como sintoma."
La Dépêche du Midi, 13-05-12, Au chevet du glacier du Mont Valier.
AFP, 04-10-11, Les photos parlent : les glaciers des Pyrénées fondent à vue d’oeil. (G. Clavel)
La République des Pyrénées, 03-03-11, Les glaciers du massif menacées de disparition d’ici 2050.
Sud-Ouest, 20-02-11, Pyrénées : une douzaine de glaciers disparu en dix ans.
L’Indépendant, 05-01-11,"Pyrénées réchauffement climatique, feu les glaciers."
La dépêche du midi, 13-07-10, La fonte des glaciers sous surveillance.
La Nouvelle République des Pyrénées, 12-07-10, Moraine mesure la fonte des glaciers.
La Dépêche du Midi, 07-12-09, Les glaciers ont diminué de 85%.
20 Minutes, 07-12-09, COPENHAGUE Coup de chaud surles Pyrénées. Edition de Toulouse.
Sud-Ouest, 02-12-09,"Dans les Pyrénées, le recul des glaciers les conduit à l’extinction."
La Croix, 20-03-09, CLIMAT Les glaciers disparaissent dans les Pyrénées.
20 Minutes, 19-03-09, CLIMAT Le réchauffement produit ses premiers effets concrets. La Région à fond avec ses glaciers. Edition de Toulouse. Edition de Toulouse.
La Dépêche du Midi, 18-03-09, La grande fonte des glaciers. Les glaciers pyrénéens vont disparaître.
Midi-Pyrénées Info, mai/juin 2008, Les glaciers pyrénéens en danger.
Sud-Ouest Béarn et Soule, 29-10-07, Nos glaciers ont trop chaud.
La Dépêche du Midi, 28-10-07, Il mesure la fonte des glaciers.
Pirineos,,"http://pirineos.com/article/articleprint/1749/-1/97/, El glaciar del Vignemale puede desparecer en el 2050.",
La Dépêche du Midi, 11-10-06, Les Pyrénées fondent comme neige au soleil.
La Dépêche du Midi, 14/20-08-06, Les glaciers ne se sont pas régénérés depuis 2001.
La Dépêche du Midi Hautes-Pyrénées, 30-07-06, Les glaciers en voie de disparition.
Sud-Ouest Béarn et Soule, 16-02-06, Les glaciers en sursis.
La Dépêche du Midi Hautes-Pyrénées, 12-03-05, Les glaciers fondent comme neige au soleil.
L’Eclair des Pyrénées, 06-10-04,"D’ici 2050, Les Pyrénées seront à nu ! Les glaciers fondent."
La République des Pyrénées, 06-10-04,"D’ici 2050, Les Pyrénées seront à nu ! Les glaciers fondent."
La Dépêche du Midi Hautes-Pyrénées, 11-11-03, Les glaciers disparaissent.
La Dépêche du Midi Toulouse, 04-08-02, René Pierre ausculte l’Ossoue.
La Dépêche du Midi Hautes-Pyrénées, 27-07-02, Des risques réels mais limités.
La Dépêche du Midi Hautes-Pyrénées, 21-06-02, Glacier sous surveillance
La Dépêche du Midi Comminges, 29-08-01,"Avec le réchauffement, c’est la fin des glaciers."
La Dépêche du Midi Hautes-Pyrénées, 07-07-01, L’extinction des glaciers paraît inéluctable dans les années à venir.
